t;Date;Time;No.;Freq;Gain;Temp.;PAR;F1;F2;F3;F4;F5;Fm'1;Fm'2;Fm'3;Fm'4;Fm'5;~Fo'1;~Fo'2;~Fo'3;~Fo'4;~Fo'5;Y1;Y2;Y3;Y4;Y5;ETR1;ETR2;ETR3;ETR4;ETR5
13591;02.12.22;15:08:18;Type: LC ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13592;02.12.22;15:08:18;20180201.par;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13591;02.12.22;15:08:18;1;7;16; --- ;1;Fo: ;923;923;1008;853;704;Fm: ;1426;763;1482;1041;850;;;;;;;;;;;;;
13591;02.12.22;15:08:18;1;1;16; --- ;0;923;515;515;853;704;1426;763;763;1041;850;923;515;1008;853;704;0.353;0.325;0.325;0.181;0.172;0;0;0;0;0
13651;02.12.22;15:09:18;2;32;16; --- ;5;0;546;546;0;0;0;784;784;0;0;923;524;1008;853;704;0.000;0.304;0.304;0.000;0.000;0;0;0;0;0
13711;02.12.22;15:10:18;3;64;16; --- ;10;0;551;551;0;0;0;785;785;0;0;923;525;1008;853;704;0.000;0.298;0.298;0.000;0.000;0;1;0;0;0
13771;02.12.22;15:11:18;4;128;16; --- ;21;0;555;555;0;0;0;794;794;0;0;923;529;1008;853;704;0.000;0.301;0.301;0.000;0.000;0;2;0;0;0
13831;02.12.22;15:12:18;5;128;16; --- ;93;0;687;687;0;0;0;942;942;0;0;923;591;1008;853;704;0.000;0.271;0.271;0.000;0.000;0;10;0;0;0
13891;02.12.22;15:13:18;6;128;16; --- ;119;0;647;647;0;0;0;876;876;0;0;923;564;1008;853;704;0.000;0.261;0.261;0.000;0.000;0;13;0;0;0
13951;02.12.22;15:14:18;7;128;16; --- ;178;0;639;639;0;0;0;832;832;0;0;923;546;1008;853;704;0.000;0.232;0.232;0.000;0.000;0;17;0;0;0
14011;02.12.22;15:15:18;8;128;16; --- ;261;0;629;629;0;0;0;784;784;0;0;923;524;1008;853;704;0.000;0.198;0.198;0.000;0.000;0;21;0;0;0
14071;02.12.22;15:16:18;9;128;16; --- ;463;0;616;616;0;0;0;722;722;0;0;923;496;1008;853;704;0.000;0.147;0.147;0.000;0.000;0;28;0;0;0
14131;02.12.22;15:17:18;10;128;16; --- ;753;0;616;616;0;0;0;692;692;0;0;923;482;1008;853;704;0.000;0.110;0.110;0.000;0.000;0;35;0;0;0
14191;02.12.22;15:18:18;11;128;16; --- ;1007;0;600;600;0;0;0;651;651;0;0;923;461;1008;853;704;0.000;0.078;0.078;0.000;0.000;0;33;0;0;0
14251;02.12.22;15:19:18;12;128;16; --- ;1207;0;593;593;0;0;0;632;632;0;0;923;452;1008;853;704;0.000;0.062;0.062;0.000;0.000;0;31;0;0;0
14311;02.12.22;15:20:18;13;128;16; --- ;1413;0;574;574;0;0;0;605;605;0;0;923;438;1008;853;704;0.000;0.051;0.051;0.000;0.000;0;30;0;0;0
14371;02.12.22;15:21:18;14;128;16; --- ;1676;0;558;558;0;0;0;578;578;0;0;923;424;1008;853;704;0.000;0.035;0.035;0.000;0.000;0;24;0;0;0
